iter	Passed	Remaining
0	164	164330
1	166	83311
2	173	57550
3	174	43520
4	176	35135
5	177	29474
6	179	25409
7	180	22373
8	181	20005
9	184	18216
10	185	16676
11	186	15373
12	187	14263
13	189	13324
14	190	12501
15	191	11773
16	192	11133
17	193	10565
18	194	10058
19	197	9679
20	198	9274
21	200	8895
22	201	8547
23	202	8241
24	203	7949
25	204	7677
26	206	7425
27	207	7191
28	208	6973
29	209	6776
30	211	6614
31	213	6451
32	214	6289
33	216	6144
34	217	5995
35	218	5853
36	219	5719
37	220	5591
38	222	5470
39	223	5354
40	225	5278
41	226	5177
42	228	5079
43	229	4984
44	230	4891
45	231	4802
46	232	4718
47	233	4637
48	235	4561
49	236	4487
50	238	4437
51	240	4376
52	241	4312
53	242	4248
54	243	4185
55	244	4125
56	245	4066
57	246	4010
58	248	3956
59	249	3902
60	250	3852
61	251	3805
62	253	3771
63	255	3730
64	256	3685
65	257	3641
66	258	3598
67	259	3557
68	260	3517
69	261	3477
70	262	3439
71	263	3402
72	265	3366
73	267	3347
74	269	3318
75	270	3285
76	271	3252
77	272	3219
78	273	3188
79	274	3158
80	275	3128
81	276	3098
82	277	3065
83	278	3037
84	279	3011
85	282	2999
86	283	2976
87	284	2951
88	285	2926
89	286	2901
90	288	2877
91	289	2854
92	290	2831
93	291	2809
94	292	2787
95	293	2765
96	295	2751
97	297	2739
98	299	2721
99	300	2703
100	301	2687
101	303	2669
102	304	2649
103	305	2631
104	306	2612
105	307	2594
106	308	2578
107	311	2573
108	312	2557
109	314	2540
110	315	2523
111	316	2507
112	317	2490
113	318	2474
114	319	2458
115	320	2443
116	321	2426
117	322	2412
118	324	2399
119	326	2392
120	327	2380
121	328	2364
122	329	2350
123	330	2336
124	331	2323
125	332	2309
126	333	2295
127	334	2282
128	336	2271
129	337	2258
130	339	2252
131	341	2242
132	342	2231
133	343	2219
134	344	2208
135	345	2196
136	346	2184
137	347	2173
138	349	2162
139	350	2151
140	351	2140
141	352	2127
142	354	2125
143	356	2117
144	357	2107
145	358	2096
146	359	2086
147	360	2076
148	361	2066
149	363	2057
150	364	2048
151	365	2038
152	366	2029
153	368	2025
154	370	2019
155	371	2010
156	372	2001
157	373	1992
158	375	1983
159	376	1975
160	377	1966
161	378	1959
162	380	1951
163	381	1945
164	383	1942
165	385	1935
166	386	1929
167	388	1922
168	390	1919
169	392	1915
170	397	1926
171	399	1921
172	400	1913
173	401	1906
174	403	1900
175	404	1893
176	405	1885
177	406	1877
178	407	1870
179	408	1862
180	410	1855
181	412	1855
182	413	1848
183	415	1840
184	416	1833
185	417	1827
186	418	1819
187	419	1813
188	420	1806
189	422	1799
190	423	1792
191	424	1786
192	426	1783
193	427	1777
194	429	1771
195	430	1765
196	431	1759
197	432	1752
198	433	1746
199	434	1739
200	435	1733
201	437	1726
